,Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female Total,Male 0-17,Male 18-59,Male 60+,Male Total,Grand Total
189,2018,SYR,Syrian Arab Rep.,ESP,Spain,289.0,233.0,7.0,529.0,346.0,244.0,6.0,596.0,1125.0
190,2018,IRQ,Iraq,PRT,Portugal,18.0,39.0,1.0,58.0,21.0,29.0,0.0,50.0,108.0
191,2018,ERI,Eritrea,MLT,Malta,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0
192,2018,ERI,Eritrea,DEU,Germany,19.0,79.0,0.0,98.0,45.0,133.0,0.0,178.0,281.0
193,2018,COD,Dem. Rep. of the Congo,SWE,Sweden,126.0,124.0,3.0,253.0,112.0,88.0,5.0,205.0,458.0
194,2018,SDN,Sudan,AUS,Australia,4.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,7.0
195,2018,All others,All others,NLD,Netherlands,15.0,23.0,0.0,38.0,20.0,19.0,0.0,39.0,77.0
196,2018,COD,Dem. Rep. of the Congo,GBR,United Kingdom of Great Britain and Northern Ireland,37.0,47.0,4.0,88.0,34.0,40.0,1.0,75.0,163.0
197,2018,SYR,Syrian Arab Rep.,CAN,Canada,1545.0,1090.0,65.0,2700.0,1701.0,1075.0,32.0,2808.0,5508.0
198,2018,SYR,Syrian Arab Rep.,USA,United States of America,28.0,17.0,1.0,46.0,26.0,13.0,0.0,39.0,85.0
199,2018,SYR,Syrian Arab Rep.,NOR,Norway,303.0,273.0,7.0,583.0,391.0,230.0,8.0,629.0,1212.0
200,2018,SYR,Syrian Arab Rep.,EST,Estonia,22.0,17.0,1.0,40.0,30.0,18.0,0.0,48.0,88.0
201,2018,IRQ,Iraq,CAN,Canada,197.0,298.0,36.0,531.0,198.0,290.0,30.0,518.0,1049.0
202,2018,IRN,Iran (Islamic Rep. of),NLD,Netherlands,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
203,2018,SDN,Sudan,SWE,Sweden,59.0,62.0,1.0,122.0,69.0,61.0,2.0,132.0,254.0
204,2018,COD,Dem. Rep. of the Congo,USA,United States of America,4208.0,3499.0,226.0,7933.0,4256.0,3299.0,200.0,7755.0,15688.0
205,2018,MMR,Myanmar,KOR,Rep. of Korea,14.0,21.0,2.0,37.0,14.0,27.0,0.0,41.0,78.0
206,2018,All others,All others,SWE,Sweden,145.0,163.0,6.0,314.0,157.0,152.0,0.0,309.0,675.0
207,2018,SYR,Syrian Arab Rep.,CHE,Switzerland,268.0,222.0,7.0,497.0,336.0,213.0,6.0,555.0,1052.0
208,2018,SYR,Syrian Arab Rep.,NZL,New Zealand,71.0,45.0,2.0,118.0,70.0,50.0,2.0,122.0,240.0
209,2018,SDN,Sudan,USA,United States of America,160.0,95.0,1.0,256.0,172.0,78.0,5.0,255.0,511.0
210,2018,ERI,Eritrea,AUS,Australia,56.0,52.0,0.0,108.0,65.0,29.0,0.0,94.0,202.0
211,2018,All others,All others,BEL,Belgium,3.0,2.0,0.0,5.0,1.0,2.0,0.0,3.0,13.0
212,2018,COD,Dem. Rep. of the Congo,NOR,Norway,310.0,303.0,10.0,623.0,343.0,238.0,7.0,588.0,1211.0
213,2018,SYR,Syrian Arab Rep.,PRT,Portugal,47.0,61.0,6.0,114.0,85.0,64.0,3.0,152.0,266.0
214,2018,SOM,Somalia,AUS,Australia,1.0,2.0,0.0,3.0,7.0,4.0,0.0,11.0,14.0
215,2018,All others,All others,DEU,Germany,6.0,7.0,1.0,14.0,0.0,4.0,1.0,5.0,21.0
216,2018,COD,Dem. Rep. of the Congo,NZL,New Zealand,24.0,26.0,3.0,53.0,26.0,25.0,2.0,53.0,106.0
217,2018,COD,Dem. Rep. of the Congo,FIN,Finland,35.0,34.0,1.0,70.0,35.0,35.0,2.0,72.0,142.0
218,2018,SYR,Syrian Arab Rep.,LVA,Latvia,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0
219,2018,IRN,Iran (Islamic Rep. of),USA,United States of America,17.0,51.0,1.0,69.0,19.0,84.0,1.0,104.0,173.0
220,2018,ERI,Eritrea,PRT,Portugal,3.0,3.0,0.0,6.0,5.0,0.0,0.0,5.0,11.0
221,2018,MMR,Myanmar,CAN,Canada,63.0,67.0,3.0,133.0,84.0,76.0,1.0,161.0,294.0
222,2018,All others,All others,FRA,France,154.0,152.0,7.0,313.0,158.0,137.0,7.0,302.0,733.0
223,2018,BTN,Bhutan,AUS,Australia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
224,2018,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,68.0,89.0,1.0,158.0,87.0,47.0,2.0,136.0,295.0
225,2018,SYR,Syrian Arab Rep.,HRV,Croatia,85.0,73.0,1.0,159.0,87.0,83.0,1.0,171.0,330.0
226,2018,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,121.0,150.0,12.0,283.0,153.0,116.0,11.0,280.0,563.0
227,2018,IRQ,Iraq,AUS,Australia,4.0,5.0,0.0,9.0,3.0,3.0,0.0,6.0,15.0
228,2018,IRN,Iran (Islamic Rep. of),ITA,Italy,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
229,2018,All others,All others,KOR,Rep. of Korea,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0
230,2018,AFG,Afghanistan,NOR,Norway,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0
231,2018,SOM,Somalia,CHE,Switzerland,0.0,7.0,0.0,7.0,0.0,1.0,0.0,1.0,10.0
232,2018,IRQ,Iraq,SWE,Sweden,14.0,23.0,5.0,42.0,17.0,14.0,1.0,32.0,74.0
233,2018,IRQ,Iraq,IRL,Ireland,0.0,1.0,0.0,1.0,2.0,2.0,0.0,4.0,5.0
234,2018,ERI,Eritrea,NLD,Netherlands,5.0,11.0,1.0,17.0,7.0,29.0,0.0,36.0,53.0
235,2018,All others,All others,PRT,Portugal,16.0,26.0,0.0,42.0,26.0,12.0,1.0,39.0,81.0
236,2018,AFG,Afghanistan,NZL,New Zealand,46.0,79.0,1.0,126.0,43.0,34.0,3.0,80.0,206.0
237,2018,AFG,Afghanistan,FIN,Finland,2.0,3.0,0.0,5.0,2.0,1.0,0.0,3.0,8.0
238,2018,SYR,Syrian Arab Rep.,FIN,Finland,176.0,132.0,3.0,311.0,162.0,151.0,4.0,317.0,628.0
239,2018,IRN,Iran (Islamic Rep. of),NOR,Norway,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0
240,2018,ERI,Eritrea,NOR,Norway,10.0,21.0,0.0,31.0,9.0,13.0,0.0,22.0,53.0
241,2018,All others,All others,AUS,Australia,310.0,292.0,7.0,609.0,295.0,261.0,10.0,566.0,1175.0
242,2018,AFG,Afghanistan,SWE,Sweden,112.0,175.0,10.0,297.0,95.0,45.0,5.0,145.0,442.0
243,2018,AFG,Afghanistan,FRA,France,2.0,2.0,0.0,4.0,2.0,6.0,0.0,8.0,12.0
244,2018,SOM,Somalia,FIN,Finland,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,5.0
245,2018,SYR,Syrian Arab Rep.,FRA,France,753.0,610.0,29.0,1392.0,895.0,635.0,20.0,1550.0,2943.0
246,2018,IRN,Iran (Islamic Rep. of),SWE,Sweden,2.0,7.0,0.0,9.0,1.0,11.0,0.0,12.0,21.0
247,2018,ERI,Eritrea,NZL,New Zealand,31.0,48.0,1.0,80.0,28.0,66.0,0.0,94.0,174.0
248,2018,ERI,Eritrea,BEL,Belgium,2.0,13.0,0.0,15.0,4.0,14.0,0.0,18.0,34.0
249,2018,All others,All others,CHE,Switzerland,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
250,2018,AFG,Afghanistan,USA,United States of America,610.0,745.0,33.0,1388.0,673.0,655.0,32.0,1360.0,2748.0
251,2018,AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,39.0,64.0,3.0,106.0,40.0,35.0,1.0,76.0,182.0
252,2018,SOM,Somalia,FRA,France,9.0,22.0,0.0,31.0,5.0,26.0,0.0,31.0,71.0
253,2018,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,975.0,974.0,50.0,1999.0,1129.0,920.0,31.0,2080.0,4079.0
254,2018,All others,All others,FIN,Finland,2.0,3.0,1.0,6.0,1.0,11.0,0.0,12.0,18.0
255,2018,AFG,Afghanistan,AUS,Australia,12.0,24.0,1.0,37.0,16.0,13.0,2.0,31.0,68.0
256,2018,SYR,Syrian Arab Rep.,BEL,Belgium,247.0,247.0,13.0,507.0,296.0,273.0,10.0,579.0,1086.0
257,2018,SOM,Somalia,PRT,Portugal,2.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,5.0
258,2018,SOM,Somalia,BEL,Belgium,1.0,4.0,0.0,5.0,3.0,4.0,0.0,7.0,12.0
259,2018,ERI,Eritrea,SWE,Sweden,96.0,157.0,4.0,257.0,130.0,310.0,4.0,444.0,706.0
260,2018,SDN,Sudan,FIN,Finland,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0
261,2018,All others,All others,ITA,Italy,2.0,6.0,0.0,8.0,2.0,4.0,0.0,6.0,14.0
