Year,Country of Origin (ISO),Country of Origin,Country of Resettlement (ISO),Country of Resettlement,Female 0-17,Female 18-59,Female 60+,Female (unknown age),Female Total,Male 0-17,Male 18-59,Male 60+,Male (unknown age),Male Total,Other/Unknown,Grand Total
2020,AFG,Afghanistan,FIN,Finland,3,1,1,0,5,0,0,0,0,0,0,5
2020,SYR,Syrian Arab Rep.,FIN,Finland,79,77,1,0,157,105,84,1,0,190,0,347
2020,IRN,Iran (Islamic Rep. of),NZL,New Zealand,2,2,0,0,4,0,1,0,0,1,0,5
2020,ERI,Eritrea,NOR,Norway,18,24,0,0,42,18,23,0,0,41,0,83
2020,All others,All others,FIN,Finland,8,9,0,0,17,6,8,1,0,15,0,32
2020,AFG,Afghanistan,SWE,Sweden,3,1,0,0,4,0,0,0,0,0,0,4
2020,AFG,Afghanistan,FRA,France,1,1,0,0,2,2,2,0,0,4,0,6
2020,SOM,Somalia,FIN,Finland,6,5,0,0,11,6,5,0,0,11,0,22
2020,SYR,Syrian Arab Rep.,FRA,France,313,262,7,0,582,378,266,4,0,648,0,1230
2020,IRN,Iran (Islamic Rep. of),CHE,Switzerland,2,3,0,0,5,1,8,0,0,9,0,14
2020,IRN,Iran (Islamic Rep. of),SWE,Sweden,0,1,0,0,1,2,1,0,0,3,0,4
2020,ERI,Eritrea,NZL,New Zealand,3,1,0,0,4,2,2,0,0,4,0,8
2020,MMR,Myanmar,AUS,Australia,17,15,3,0,35,20,18,2,0,40,0,75
2020,All others,All others,NLD,Netherlands,4,4,0,0,8,7,0,0,0,7,0,15
2020,SDN,Sudan,ESP,Spain,1,0,0,0,1,0,0,0,0,0,0,1
2020,All others,All others,SWE,Sweden,32,25,0,0,57,31,19,0,0,50,0,107
2020,AFG,Afghanistan,AUS,Australia,70,115,6,0,191,88,93,7,0,188,0,379
2020,SYR,Syrian Arab Rep.,BEL,Belgium,0,0,0,0,0,1,0,0,0,1,0,1
2020,ERI,Eritrea,SWE,Sweden,48,81,0,0,129,89,76,1,0,166,0,295
2020,SDN,Sudan,FIN,Finland,0,0,0,0,0,1,1,0,0,2,0,2
2020,AFG,Afghanistan,CAN,Canada,23,37,0,0,60,26,27,2,0,55,0,115
2020,SYR,Syrian Arab Rep.,IRL,Ireland,57,48,0,0,105,59,41,0,0,100,0,205
2020,SOM,Somalia,CHE,Switzerland,0,1,0,0,1,0,2,0,0,2,0,3
2020,ERI,Eritrea,USA,United States of America,0,0,0,0,0,2,0,0,0,2,0,2
2020,SDN,Sudan,FRA,France,40,35,3,0,78,27,24,1,0,52,0,130
2020,All others,All others,AUS,Australia,169,260,12,0,441,180,216,4,0,400,0,841
2020,SOM,Somalia,NLD,Netherlands,19,15,0,0,34,20,7,1,0,28,0,62
2020,SOM,Somalia,DEU,Germany,13,22,1,0,36,6,20,0,0,26,0,62
2020,IRQ,Iraq,USA,United States of America,8,0,0,0,8,10,0,0,0,10,0,18
2020,IRQ,Iraq,CHE,Switzerland,7,13,2,0,22,11,13,2,0,26,0,48
2020,IRN,Iran (Islamic Rep. of),AUS,Australia,0,2,0,0,2,0,2,0,0,2,0,4
2020,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,2,1,0,0,3,4,1,0,0,5,0,8
2020,All others,All others,DEU,Germany,37,36,0,0,73,31,24,0,0,55,0,128
2020,COD,Dem. Rep. of the Congo,CAN,Canada,159,171,12,0,342,171,146,14,0,331,0,673
2020,SOM,Somalia,NOR,Norway,30,30,1,0,61,13,13,0,0,26,0,87
2020,IRQ,Iraq,NLD,Netherlands,0,1,0,0,1,0,0,0,0,0,0,1
2020,IRN,Iran (Islamic Rep. of),CAN,Canada,2,5,0,0,7,1,2,1,0,4,0,11
2020,All others,All others,ISL,Iceland,0,4,0,0,4,3,3,0,0,6,0,10
2020,SOM,Somalia,NZL,New Zealand,35,44,2,0,81,37,18,1,0,56,0,137
2020,ERI,Eritrea,GBR,United Kingdom of Great Britain and Northern Ireland,2,0,0,0,2,0,0,0,0,0,0,2
2020,ERI,Eritrea,CAN,Canada,34,73,1,0,108,52,97,2,0,151,0,259
2020,All others,All others,NZL,New Zealand,60,65,1,0,126,65,58,0,0,123,0,249
